Frequency [Hz],A2,AY1,AY2,AY3,AY4,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
0.0,0.11941190474581513,0.06109963207105196,0.047501402466825736,0.08874484480380414,0.058922942740300195,0.005274441083082183,0.02159918085779688,0.7136695214398711,0.8011220980497715,0.9029613168317612,0.9902151072971086,0.9624869063817538,0.9888578569878584,1.0414161865207863,0.9865222591177422,0.14340049145973383,0.6871186454899679,0.864496362748776,0.2176694640849547,0.5133564352944434,0.7425442946567085,0.6624189729949843,0.8629492722694678,0.8831886316782697,0.001923723003251192
0.125,0.3726148190820099,0.4719233035591487,0.38155853846624455,0.34902214345687443,0.22829811114806922,0.17653016806519758,0.16828851694085833,1.2412114025434309,1.1600690143953416,1.1476801149210003,1.189758986578716,1.1283907402774718,1.1722447509126055,1.1635196095537848,1.1831205773000721,0.4161085144358074,0.8602903795212016,0.9044978400174479,0.48734121817908016,0.710063542558795,0.8980210453830346,0.8511934126164293,0.8963995476564017,0.9026366634861305,0.5377955373147946
0.25,0.9179090039147996,0.9651343724052832,0.9503177984636105,0.8267324720147521,0.7590202056330102,0.7124642508167959,0.6548100145853457,1.056092362712789,1.049637203737023,1.0087054203626322,1.045097671639322,1.0271839247583874,1.0342107262004359,1.0360410291061328,1.0520369676383936,0.9270731195511336,0.995853614000432,0.8565516331018442,0.9561415545611072,1.022477856247787,1.0597908300945114,0.9979379556714771,0.922366142178352,0.8663225514559142,0.9639560360687918
0.375,1.3722229053394,1.1241469081072781,1.1168031660624522,0.968903630230894,0.8507498175686713,0.7984086124644935,0.761674330512309,1.3593807880279667,1.3861038592609063,1.3716839456932437,1.3709772137196319,1.375878525675241,1.3783726749362264,1.3885241510460056,1.3566493011043232,1.425173051106739,1.4370942357104122,1.0661043199828237,1.5093821685774926,1.614026646659075,1.529313104457446,1.350439730862043,1.2074465738122055,1.050275998936754,1.1269934359251854
0.5,1.0325415442488481,1.2381641846075744,1.2209237095830203,1.1071452882028334,1.0113824413106587,0.9306504525278401,0.8780331375289688,1.2030045789130885,1.191983567318074,1.2109186132520637,1.197244827844429,1.1859675126532783,1.206432016854257,1.1948871641721235,1.1930350632513977,1.0860364256552297,1.0628595135132255,0.9858641412103043,1.0905798313887503,1.1190856393162265,1.1361551652663113,1.0903733881491042,1.0416802382383519,0.9824669882015006,1.2310445772310383
0.625,1.8898406954414875,1.4345845133900443,1.4287033768331119,1.2044533921298837,1.0375978616197232,0.9198744344652046,0.8488380000733772,1.2348448267625012,1.2236968703694355,1.2202176392954946,1.2387989051578527,1.2204743838114418,1.2203181129573741,1.2100579804566785,1.237921354587186,1.9995072912419671,1.7091228251903121,0.999118224593455,2.085192241382003,2.137507463230987,1.8404238637533166,1.5267791158161241,1.2301413114526945,1.0000862161786226,1.4216727258525574
0.75,1.5190847097674318,1.590282465282486,1.5531775882735577,1.3841771708763835,1.1939496269904812,1.0096959152301526,0.920571135153805,1.2314663899531708,1.219213453129093,1.2302278534137543,1.2257689130352274,1.2222152977985228,1.2261311635999748,1.2250173432918863,1.2193942750689635,1.5902376697485572,1.3778914394202735,1.0008680684685114,1.5679512509271145,1.5659007799258293,1.4795056553530352,1.26863511159013,1.0908438452471196,0.9973559134902509,1.584384870461781
0.875,2.894450104156563,2.08053932093722,2.016449392910397,1.6892902636867153,1.322160249420237,1.0413492683087135,0.890058456366686,1.3349052943825992,1.3085770729017978,1.2853114715455234,1.2869778759909154,1.2912293811031192,1.291230771931826,1.2383646383907256,1.255570291959076,3.0328629775673592,2.315660689478802,1.0479711129762779,3.1316392721877415,3.0722789558740704,2.507587846704907,1.9573371837298819,1.3851931510414122,1.060058771276348,2.0752732288431153
1.0,3.1889337694438793,2.9220686389487915,2.7578474205176065,2.236888429022181,1.614994863036472,1.1026306601242766,0.919380561511943,1.2361475504035506,1.2329230743789472,1.2425492007422239,1.2369189550031405,1.2254455659029606,1.228258345887704,1.2273044809860623,1.226052583617321,3.3278095950764537,2.44238587843569,0.9981640904082956,3.2816855673001193,3.1574297714112087,2.647527967067738,1.8940639152460954,1.2714161325045608,0.9954284915804262,2.935473044890106
1.125,4.6731038543014565,4.24242286399678,3.962667939011374,3.015635232706043,1.9066925182825176,1.0658555752366103,0.8076502025439568,1.2807028141878636,1.259080677452434,1.2943553428248764,1.275898063428614,1.2729054724576765,1.2521854427831978,1.2321475213284527,1.2282116379702053,4.7702311878608885,3.3423002998328992,0.9965933909136149,4.833301631791502,4.599218439984101,3.5909329319544034,2.5130084256418406,1.4939649618499296,1.0094162198799914,4.241830734114794
