Time [s],Input force,A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,R1,R2
0.0,-0.02201931,-0.021294,-0.034804,0.014103,0.012533,-0.019497,0.0035081,0.0057938,-0.017199,-0.031293,-0.024232,-0.016122,0.018747,0.010879,-0.012099,0.0099621,0.0069391,-0.01696,0.00022863,-0.0029952,-0.0023814,-0.00094784,-0.0002282,-0.0013348,-0.00078386,0.0010272
0.02,-0.019004382,0.0020199,-0.042176,-0.010468,0.020358,-0.012814,0.00035199,-0.0089585,0.0011697,-0.039643,-0.020284,-0.0082164,-0.0036109,0.027238,-0.020134,0.011037,0.0040352,-0.014449,-0.00079891,-0.0045846,-0.0046052,-0.0043203,-0.0061511,-0.0069438,-0.0013288,0.00074308
0.04,-0.017764704,0.017202,-0.034174,-0.03048,0.018484,-0.00012136,-0.0093883,-0.013489,0.010021,-0.034329,-0.0061064,0.0014118,-0.012315,0.025877,-0.01383,0.0058553,0.0023545,-0.0083922,-0.0017601,-0.002495,-0.0039574,-0.0067874,-0.0087747,-0.0058804,-0.00025663,0.00073654
0.06,-0.015499559999999999,0.01946,-0.025621,-0.036172,-0.00010101,0.020604,-0.025903,-0.010226,0.010987,-0.02681,0.018847,-0.0018271,-0.0039469,0.0048973,0.0071263,-0.0067023,7.7983e-05,0.00011444,6.7354e-05,0.0018725,-0.0025977,-0.0022848,-0.0017175,-3.5103e-05,0.00034818,0.0012079
0.08,-0.016707635999999998,0.018855,-0.025151,-0.034101,-0.017966,0.035185,-0.032514,-0.0071576,0.010564,-0.025185,0.038593,-0.010101,0.0047998,-0.013093,0.027326,-0.02065,-0.0046643,0.0099889,0.0012042,0.00065174,-0.00046435,0.0032653,0.0039591,0.003349,-0.00037751,0.001013
0.1,-0.021118518,0.010477,-0.033204,-0.034508,-0.020944,0.023802,-0.017941,-0.011444,0.0081457,-0.033075,0.02962,-0.008579,-0.00099546,-0.014387,0.027004,-0.017698,-0.010001,0.016895,0.0019212,0.0017602,0.0020519,0.0055362,0.0050446,0.0032917,-2.6741e-05,0.0019437
0.12,-0.024981558,-0.0029763,-0.042758,-0.036094,-0.013394,0.0023841,0.0051277,-0.015027,0.003767,-0.0438,0.0061226,0.004098,-0.015151,-0.0027332,0.010011,-0.0033649,-0.012643,0.018998,0.0019103,0.0018163,0.0024856,0.0025115,-0.0008309,-0.00054029,0.00033341,0.0032688
0.14,-0.022512726,-0.017764,-0.045552,-0.03858,-0.011331,-0.014002,0.019566,-0.010134,-0.0091907,-0.04741,-0.011533,0.01655,-0.02129,0.0054282,-0.0027725,0.0069483,-0.0073166,0.011434,0.00097962,-0.00010714,-0.0012757,-0.0049084,-0.0078528,-0.0055321,-0.00025351,0.0034322
0.16,-0.019359084000000002,-0.03612,-0.040709,-0.037163,-0.014962,-0.019164,0.020764,0.0045824,-0.026319,-0.042213,-0.013118,0.017667,-0.0076898,-0.00098753,-0.0055047,0.0089739,0.0065547,-0.0057524,0.0017215,0.00053358,0.00042039,-0.0034187,-3.3144e-05,-0.001672,-0.00075308,0.0020505
0.18,-0.014948196,-0.041979,-0.034836,-0.02857,-0.021093,-0.015617,0.012561,0.017416,-0.035391,-0.034799,-0.00608,0.0084123,0.013071,-0.01029,-0.0051176,0.0056361,0.017833,-0.019936,0.0032962,0.0053491,0.004607,0.0066398,0.010478,0.0062671,0.0010352,0.0027873
