Time [s],Input force,A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,R1,R2
0.0,-0.01467954,0.002804,-0.023218,0.042519,-0.028226,-0.0021963,0.031987,-0.017262,-0.0053728,-0.026989,0.0069885,-0.0069983,0.046521,-0.020961,0.0068554,0.010986,-0.03012,0.043827,-0.011061,-0.015475,-0.024433,-0.058002,-0.038073,-0.037368,-0.009245,-0.0037597
0.02,-0.012669588,-0.027715,-0.039115,-0.0033528,0.002561,-0.0060869,0.013918,0.0068056,-0.011382,-0.042642,-0.013819,-0.0089052,0.041542,-0.021346,0.0074245,0.013667,-0.02091,0.039362,-0.0039789,-0.013657,-0.02667,-0.067014,-0.044898,-0.042899,0.0082424,0.013153
0.04,-0.011843136,-0.031346,-0.030582,-0.061425,0.031264,-0.011464,-0.015102,0.018792,-0.011822,-0.031121,-0.026462,-0.0030149,-0.0068363,0.0043783,0.00055325,-0.006461,0.011527,0.002012,0.013317,0.0032066,-0.001593,0.0036294,-0.0023579,-0.0017143,0.014612,0.015632
0.06,-0.01033304,0.00038307,-0.02,-0.070084,0.01904,-0.0030329,-0.038895,0.010756,0.0045811,-0.019261,-0.0035728,0.0019591,-0.050912,0.025005,-0.0050353,-0.016288,0.029008,-0.029864,0.020462,0.024364,0.030492,0.069823,0.044848,0.043683,0.006659,0.0050736
0.08,-0.011138424,0.056094,-0.032,-0.028981,-0.025907,0.014605,-0.036672,-0.016387,0.034351,-0.032713,0.030173,0.0032401,-0.046867,0.01771,-0.006058,-0.0022496,0.015336,-0.030279,0.0050093,0.025948,0.038917,0.059859,0.046141,0.049276,-0.0063611,-0.0066263
0.1,-0.014079012,0.06444,-0.039287,-0.003332,-0.04385,0.0104,-0.010095,-0.029101,0.044421,-0.03961,0.025658,0.00047242,-0.0019094,-0.01559,0.0078241,0.018608,-0.011873,-0.00084469,-0.012516,-0.00199,0.0037884,-0.016147,0.0031826,0.0056906,-0.011215,-0.0085488
0.12,-0.016654372,0.012545,-0.022765,-0.015939,-0.023319,-0.010858,0.0090052,-0.0090766,0.022494,-0.020117,-0.011553,-0.0053095,0.03675,-0.041944,0.019313,0.021068,-0.020977,0.021724,-0.012402,-0.030785,-0.037104,-0.06458,-0.044251,-0.046508,-0.0039946,-0.00016842
0.14,-0.015008484,-0.040312,-0.0031087,-0.026848,-0.014636,-0.029053,0.013391,0.023016,-0.017359,0.0014546,-0.047554,-0.010206,0.030567,-0.030892,0.011565,0.012921,-0.0070371,0.016407,-0.0031216,-0.025694,-0.042042,-0.04787,-0.052117,-0.051924,0.0058577,0.0073122
0.16,-0.012906056,-0.054657,0.0096102,-0.023476,-0.019256,-0.037771,0.0066649,0.040287,-0.043711,0.014069,-0.05137,-0.0053258,-0.015134,0.0058483,-0.0045325,0.0035654,0.012355,-0.0031704,0.0047801,0.0083193,-0.0021843,0.013479,-0.0046093,-0.0015146,0.0065977,0.0053378
0.18,-0.009965464,-0.010459,0.010103,-0.0042221,-0.034527,-0.036883,0.0099385,0.016685,-0.026095,0.011347,-0.031998,0.0035194,-0.048692,0.032764,-0.013413,-0.0075836,0.022611,-0.0197,0.01021,0.03313,0.040969,0.056716,0.050859,0.050396,0.0017212,-0.00068008
