Frequency [Hz],A2,AY1,AY2,AY3,AY4,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
0.0,1.4721630478160628,0.05712622871379628,0.06414964311909632,0.04049875590929066,0.059683066019478856,0.031109653369360914,0.02995277733636944,0.19492262380795033,0.5510531837229579,0.6455844615711894,0.5305435483084475,0.7509617079471446,0.6581494908893076,0.7809936266341986,0.7905449584714944,1.3930967136404868,1.4194447459052661,0.8522402423599663,1.4851394581555728,1.5123651051025016,1.488304970023503,1.1906308744057605,1.0074377946422115,0.8445012627170215,0.05314230504910009
0.125,1.5459137005637618,0.38436837788179146,0.35848597933414883,0.2647041065545348,0.22418099750575188,0.186826617112072,0.16250170479543893,1.110668410791157,1.0736263467001714,1.1372201382692708,1.1064902831609953,1.1370932281640538,1.1457553486579557,1.1754929884517444,1.1497857299401049,1.5326539033627857,1.4717298609159148,0.8683431952409473,1.564751313315794,1.5743185573738814,1.5989466054298975,1.3460032362814474,1.0243570699750215,0.8900044489070136,0.35887952182727195
0.25,1.0539253705376141,0.8611427828269994,0.832360149480103,0.762765412644868,0.7045142078929643,0.6748383334562411,0.6253119476629015,1.0399792673389332,1.0039779713633032,1.009942803245352,1.0254700653875397,1.0194320490655358,1.0272524099081142,1.0474526894217948,1.0588052758621176,1.0518969625044072,0.995868963967433,0.862293519507679,1.0528393123503874,1.0480650271070975,1.0823012649847616,1.0083467344595436,0.8914891641075854,0.8634806875345401,0.8313795907398929
0.375,1.652454218538855,0.8142237782725202,0.8382041619839395,0.7991394146127205,0.7292388891710511,0.7095333496383244,0.7314846512264292,1.3243722640628701,1.3241309418158471,1.3149793285924714,1.3093152635632728,1.3382674173716607,1.3660208818939727,1.3448234441718647,1.370814702708739,1.638378578431462,1.4992765480710935,1.0686983605801685,1.6751167423655995,1.6621386091675547,1.5886829363414874,1.412831126935038,1.171968206452902,1.066545025518991,0.8108613923033506
0.5,1.0797472348562582,1.1416009076723725,1.1163941572145626,1.033028639005848,0.9681194387404912,0.9210990988628754,0.8789883814268262,1.195798239844221,1.1868425706607526,1.1931232180903837,1.2029983857256215,1.1914670942359993,1.2015723146161612,1.1860380083879911,1.1816262207271375,1.1131082552546072,1.0864644204530898,0.9883158506613258,1.1260652110902323,1.1390654945315584,1.1293655710967903,1.0893064073809895,1.0432081132794202,0.9875191242899646,1.130288421555954
0.625,1.3921159033610793,1.3467800702421926,1.3296529076862493,1.1681128519275426,0.9678619018580321,0.8315389130637507,0.7458967361495045,1.2447504828198714,1.2702705853798497,1.2773184162932443,1.267703843234134,1.232978106465523,1.231734235335089,1.2186030560843073,1.2126291509363318,1.4045208098964053,1.2190592764563628,1.0062632438262697,1.42653270911093,1.3869578822236819,1.3144670821070044,1.1779684864471014,1.0291261133110954,1.0038946024659738,1.3042632139909942
0.75,1.3228649858319665,1.1418238715212052,1.1275076237520936,1.0829022213993964,1.0164439979912483,0.9540701668424105,0.9120283397067718,1.240770021814915,1.2344798868336537,1.2476705632112697,1.2378122484173755,1.2333016995795771,1.233484884763736,1.2215744081405435,1.2218656642534387,1.373632538746794,1.277604710515166,1.0042793586946448,1.367289958066285,1.3784936096719629,1.3184610587204257,1.2068021929862223,1.0898984847702133,1.00117876552245,1.1415801223367779
0.875,1.3533495852812991,1.7643604683433354,1.7275941084404807,1.475717696223398,1.155167034947321,0.9050763571944507,0.7821687601026113,1.4023546318236655,1.3738920818050724,1.3617452482793462,1.3440723534437182,1.3382877276590421,1.28404356162078,1.2398857089512754,1.2348838073655548,1.3378696171855338,1.1339478414110151,1.0545874926474974,1.3635554058716266,1.3208246265246624,1.2083183478317139,1.134265475911674,1.0743186331386696,1.0425563808655427,1.740641761237985
1.0,1.831288088975798,1.4866463056176884,1.438831767711864,1.3104160846383492,1.1368313848536535,0.986971712652975,0.9197059668624312,1.2352394250582648,1.2312631489666805,1.2384418561688524,1.2366782675642578,1.2286992489521917,1.2311062762782623,1.219969784411345,1.2227066119139223,1.875318280478418,1.59376900677555,1.0021156357601404,1.8602842461542608,1.8261438640919534,1.6433028066457693,1.3897465064044854,1.1291601930004767,0.9986180112115126,1.4924631942149704
1.125,1.9758339256961246,2.180708309836018,2.1000150151068357,1.7524035025486988,1.2848331766653844,0.9115873111955954,0.742642280390284,1.403976487820537,1.3807877682406529,1.3856100127411686,1.36059701410711,1.3311897291038581,1.2783577929071448,1.2510087941063592,1.1971506842722017,2.0077195176654445,1.5828668937016668,1.0041463226571898,2.022901405068696,1.956352552479788,1.6722614075982651,1.3585687009111083,1.12212469605395,0.9913363481032313,2.166065929894158
