Time [s],Input force,A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,R1,R2
0.0,-0.018349425,0.0016768,-0.015053,0.002663,0.0037269,-0.0062092,-0.0063829,-0.002451,0.00085384,-0.016053,-0.0063496,0.0016294,0.0046445,-0.0013033,-0.0031647,0.0056359,0.00044922,-0.0054045,0.00021098,0.00065951,0.0024067,0.001892,0.0027313,0.0021661,-0.0006399,7.1541e-05
0.02,-0.015836985,-0.00011222,-0.023947,-0.008746,0.0065971,-0.0058474,-0.0033866,-0.0027137,-0.0020451,-0.02446,-0.0076693,-0.00075723,0.0057379,-0.00040321,-0.0032031,0.004705,0.00041337,-0.0027057,-0.0017873,-0.0046068,-0.0038101,-0.0048658,-0.0048285,-0.0047695,-0.00072411,-0.00012031
0.04,-0.014803920000000002,-0.0036923,-0.024898,-0.019516,0.003354,-0.0017887,-0.003056,-0.0017415,-0.0050856,-0.024351,-0.003851,-0.0015434,0.0023551,0.00073648,-0.0008177,-8.2143e-05,-0.00057069,0.0014884,-0.0014419,-0.0042442,-0.0064739,-0.0050261,-0.0068529,-0.0064453,-0.00061089,8.2734e-05
0.06,-0.0129163,-0.0070183,-0.021565,-0.025901,-0.002994,0.0036345,-0.0039535,-0.0016001,-0.0064008,-0.021149,0.002802,-0.0013798,-0.0021392,0.0031174,0.00044779,-0.0046661,-0.00011236,0.0035517,-0.00052024,-0.00094687,-0.0036816,-0.0030552,-0.0042455,-0.0038207,-0.00054822,0.00079581
0.08,-0.01392303,-0.0060534,-0.022839,-0.026063,-0.011317,0.0065855,-0.00078945,-0.0053405,-0.0053283,-0.022506,0.0069593,-0.00070331,-0.0044689,0.0047369,0.0015175,-0.0069499,0.00037505,0.0048198,0.0008806,0.0018832,0.00086848,-0.00040595,0.00070078,0.0007117,-0.00077229,0.00088261
0.1,-0.017598765,-0.002981,-0.029421,-0.023416,-0.018604,0.0064527,0.0033011,-0.0085654,-0.0044104,-0.029262,0.0073128,8.1663e-05,-0.0034935,0.0030331,0.003511,-0.006306,-0.0010014,0.0052424,0.0022206,0.0038867,0.0040321,0.0035359,0.0043256,0.0036659,-0.0008165,0.0013144
0.12,-0.020817965,-0.0060238,-0.035011,-0.025758,-0.020112,0.0033149,0.005431,-0.0074738,-0.0067616,-0.035595,0.0036899,-0.00018514,0.00023786,0.0013377,0.0029572,-0.0026728,-0.0018895,0.0039579,0.0021247,0.0036176,0.0042283,0.0054644,0.0048249,0.0045897,5.2824e-05,0.0018918
0.14,-0.018760605,-0.014086,-0.035426,-0.031349,-0.016096,-0.0029188,0.0054683,-0.0013781,-0.010411,-0.0356,-0.0030953,-0.00073775,0.0038778,0.00015252,6.8267e-05,0.0012115,-0.0015354,0.0016415,0.0014362,0.0024662,0.0023849,0.0044841,0.0033496,0.0031903,-0.00019616,0.0013196
0.16,-0.016132570000000002,-0.016136,-0.030113,-0.035262,-0.01329,-0.0077554,0.0025473,0.0027033,-0.010775,-0.029861,-0.0072852,-5.8287e-05,0.0035461,-0.0015112,-0.0017793,0.0034789,-0.00010071,-0.00254,-0.00097766,0.00046584,-0.00082388,-0.00059615,0.00060246,-0.00017665,-0.0014087,0.00029889
0.18,-0.01245683,-0.010256,-0.024116,-0.033784,-0.01691,-0.0073875,4.8251e-05,0.0024337,-0.0068314,-0.024281,-0.0060303,0.00067768,0.0017165,-0.00033659,-0.002658,0.0054341,0.0021579,-0.0064424,-0.0021785,-0.0028362,-0.0037193,-0.005798,-0.0043904,-0.0047579,-0.0013335,-0.00048472
0.2,-0.012431955000000001,0.0011659,-0.023212,-0.02613,-0.022778,-0.0054416,-0.0032683,-0.0005077,0.0019534,-0.023713,-0.0049204,-0.0010048,0.0011492,0.00037052,-0.0033149,0.0061189,0.0028475,-0.007666,-0.0018943,-0.0032011,-0.0051382,-0.007205,-0.0067923,-0.007152,-0.00052456,0.00012754
0.22,-0.01916593,0.013948,-0.027863,-0.02093,-0.027975,-0.0064877,-0.0048411,-0.0053201,0.010761,-0.027897,-0.0077358,-0.00090853,-0.0018983,-0.00077701,6.9475e-05,0.0037048,0.00085394,-0.0047876,0.00011642,8.5688e-06,-0.002568,-0.0032784,-0.0045236,-0.00396,0.00074269,0.0026045
0.24,-0.025712605,0.015988,-0.031939,-0.021929,-0.027683,-0.010988,-0.005618,-0.0047907,0.011672,-0.031656,-0.012929,0.00027122,-0.0044758,0.00020079,0.0040432,-1.2952e-05,-0.0010155,-0.00033682,0.0033871,0.0043039,0.0029161,0.0049532,0.0027484,0.0045882,0.00040155,0.0036352
0.26,-0.028311375,0.0073742,-0.032908,-0.027302,-0.021749,-0.019011,-0.0079876,0.0033417,0.0060552,-0.032949,-0.020356,-0.00043343,-0.0030054,-0.00097368,0.0051706,-0.0033118,-0.003498,0.0036718,0.0030882,0.00544,0.0059608,0.008404,0.0086183,0.0092402,-0.00069621,0.0016523
0.28,-0.02375036,0.00014381,-0.033039,-0.03338,-0.017711,-0.024842,-0.0072955,0.0082163,0.00085223,-0.032908,-0.025287,0.00061607,-0.0010432,-0.0032618,0.0063174,-0.0053532,-0.0042262,0.0063131,0.00062104,0.0025603,0.0039464,0.0052617,0.0049634,0.0043309,-0.00088512,0.00026366
0.3,-0.021081355,0.0024722,-0.032209,-0.034312,-0.0183,-0.025972,-0.0048588,0.0075094,0.0021941,-0.032466,-0.025698,-0.00047145,0.00051895,-0.0010873,0.0037296,-0.005361,0.00014425,0.0035853,-0.0010056,-0.00081258,-0.0020027,-0.0010814,-0.0020324,-0.0019943,-5.7604e-05,0.00064041
0.32,-0.015836985,0.0085158,-0.028898,-0.031784,-0.022126,-0.023216,-0.0055813,0.0024364,0.0070467,-0.029329,-0.02305,-0.0029413,0.0016654,0.0022908,-0.0024744,-0.0018966,0.0028351,-9.6956e-05,-0.0013617,-0.0032556,-0.0065606,-0.0069844,-0.0088126,-0.0077669,0.00050361,0.00087895
0.34,-0.01197395,0.011038,-0.022262,-0.027472,-0.030897,-0.016387,-0.0071956,-0.002969,0.010888,-0.022311,-0.016557,-0.0018299,-0.00073875,0.0051273,-0.0061502,0.0027224,0.0018032,-0.0010385,-0.0005937,-0.0021702,-0.0068269,-0.0081689,-0.0085251,-0.0079322,0.00011017,0.0013415
0.36,-0.00608282,0.0086235,-0.015021,-0.022359,-0.03847,-0.013455,-0.0092972,-0.0031808,0.0092516,-0.015666,-0.014337,-0.001043,-0.00058402,0.0060346,-0.0076352,0.0024549,0.0015178,-0.0032158,0.00015502,0.001719,-0.0012189,-0.0020195,-0.0010966,-0.0011296,-0.00023879,0.0014256
0.38,-0.009569795,0.0022938,-0.016539,-0.020546,-0.037977,-0.015377,-0.0092287,-0.00019196,0.0027921,-0.017139,-0.01721,-0.0015596,0.0022835,0.0010919,-0.0039673,-2.9354e-05,0.0018683,-0.0034144,0.00075352,0.0046134,0.0039654,0.0055692,0.0051755,0.0051258,-0.0010214,0.00082411
0.4,-0.019078135,-0.0024042,-0.027726,-0.023911,-0.034889,-0.020044,-0.0045234,0.001122,-0.0032118,-0.027886,-0.022145,0.00062138,0.0023731,-0.0039151,0.0027445,-0.0022404,-0.00037901,0.00029901,0.001913,0.0061375,0.0061841,0.0085745,0.0071633,0.0082585,-0.0014299,0.00050113
0.42,-0.0278563,-0.0038896,-0.038741,-0.031387,-0.028603,-0.025292,3.7583e-05,0.00061685,-0.006786,-0.038708,-0.027704,0.0019169,0.0020843,-0.0040198,0.0038298,-0.0016215,-0.0024183,0.0031162,0.0023855,0.0035096,0.0041032,0.0069902,0.0051654,0.0046361,-0.00011555,0.0019172
0.44,-0.0285894,-0.0071776,-0.039241,-0.039341,-0.021562,-0.02966,0.00085247,-0.00023201,-0.008016,-0.038152,-0.030358,-0.00013927,0.00014183,-0.0021894,0.0019346,0.00059354,-0.0023679,0.003917,0.00089374,-7.2792e-05,-0.001457,-0.00097953,-0.00031808,-0.0022418,0.00095631,0.002189
0.46,-0.00957272,-0.0077377,-0.026607,-0.041917,-0.021085,-0.026339,-0.0022338,-0.0022532,-0.006053,-0.024813,-0.025119,-0.0015366,-0.0049939,-0.00014383,0.0014611,-0.0013297,-0.0012757,0.0021197,-0.00039197,-0.0014244,-0.0042453,-0.0054571,-0.0042419,-0.0044426,0.00064108,0.00050942
0.48,0.0044600515,-0.0055212,-0.0080869,-0.033971,-0.028848,-0.015905,-0.01099,-0.0033625,-0.0030647,-0.0074638,-0.015024,-0.00197,-0.0078169,0.0017555,1.4314e-05,-0.0024764,0.0022445,-0.0025691,-0.00091551,-0.00040313,-0.00357,-0.0023488,-0.0038522,-0.0037415,0.00029217,9.8066e-05
0.5,0.02063652,-0.0030151,0.0027337,-0.01932,-0.03736,-0.0090739,-0.019487,-0.0032206,-0.00067319,0.0025114,-0.0079289,-0.00060618,-0.0050677,0.0016173,-0.0017366,-0.00037451,0.0028404,-0.005315,-0.0013649,0.00097619,-0.0010877,-0.0011374,-0.0031437,-0.00291,-0.0019564,-0.0015326
0.52,-0.007145155,0.003539,0.0018671,-0.0051425,-0.039519,-0.0084143,-0.019803,-0.0079376,0.0030386,0.0014029,-0.0065406,0.00072981,-0.00039539,-0.00037093,-0.00040251,0.0020195,-0.00071192,-0.0034312,-0.0018081,0.00032582,-0.00074619,0.00031894,-0.00053321,-0.0005288,-0.0028922,-0.0023254
