Frequency [Hz],A2,AY1,AY2,AY3,AY4,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
0.0,2.0805196752608506,0.0056519251116960165,0.019337790486041315,0.04103938811116607,0.271778280254467,0.4931251258137791,0.0728319512072385,0.043695209567067926,0.48610612628427025,0.559844273068959,0.5957563603626262,0.6828225368484362,0.6060813679675896,0.6614959040582931,0.6813048566607793,1.9346679736311165,1.598741749377819,0.8844283804293137,2.014329136118757,1.8485456213527858,1.6002057545363204,1.2380146599982578,1.1261474350492888,0.9665033079580229,0.0201599024292051
0.125,1.8195435473404964,0.31257066191088834,0.2708746922171299,0.22396626642419293,0.010528230474252456,0.06601473407966754,0.06674298318446453,1.2757142848078837,1.2590487644125055,1.2186488000523268,1.188319675931887,1.2091491487497077,1.2097945017413767,1.1846834089524838,1.1863781486139269,1.7177329440948812,1.4449671747698183,0.8898525813576526,1.7934811671111628,1.6788009213000523,1.4721295314993434,1.2591407016633038,0.9985488840660302,0.8923816445237692,0.3527023483398336
0.25,0.9307703994842467,0.5717482293855357,0.5478063562111447,0.5266103387015979,0.08164731454047396,0.12721893115539015,0.4370105696647444,1.054958423569416,1.0698771500715683,1.0660660178702048,1.0448329967990613,1.0350862419593327,1.0527853505825,1.0278673520544934,1.0393313921784477,0.8884763433436272,0.9246186847304267,0.8649265549921707,0.9416462708375156,0.9403401289768782,0.9680544448506772,0.940379182891861,0.8766407870196073,0.8707401638922918,0.6045302724295875
0.375,1.7948402524825366,0.7055427611948764,0.7230785328585567,0.6304063150968227,0.09760634825668489,0.1351253893190181,0.48003003000565686,1.3817211438128059,1.3632475370050212,1.3904606151771755,1.35993061063601,1.367620258087606,1.3531538046902964,1.3648857333082234,1.3546579309516344,1.7185571143817742,1.5140849085117398,1.0800628897723905,1.7468273644153136,1.6572042176482382,1.5516693122915022,1.414030511152574,1.2122209268459032,1.077775929598794,0.6675849207365565
0.5,1.1707061318922578,0.9279861874816882,0.9139091060037549,0.9084554091178813,0.06283882598707226,0.11977858654092545,0.8924390998197432,1.2010342944860233,1.1987051962112223,1.2048909310481186,1.206521491708674,1.192723882811176,1.2085566721953753,1.1964451257868811,1.1971793441756047,1.160595020891182,1.100750272119532,0.9996452844492757,1.1581349050517287,1.1396354318515731,1.0863328220067003,1.0555688220289545,1.017099546348956,0.9925438681099215,0.9297648128205349
0.625,1.5653717414647041,1.4095947342022106,1.323218231039318,1.1914530707357491,0.10991440370019347,0.15758295468447095,0.7635045035996844,1.2923830233906966,1.2876344757477391,1.2966724648766157,1.2828777188717742,1.2577361328947427,1.2480075274785114,1.2892128503855107,1.2593442785303313,1.540358083939897,1.3490873377859536,1.0073752384930579,1.4826146293325748,1.4090936294036813,1.3284268264754842,1.2538716421179676,1.10130623383204,0.9891349168731369,1.43986983201208
0.75,1.0215592453320688,0.9571160531406464,0.9464362334054947,0.9373634546525904,0.03425308252325734,0.035935525667160705,0.888602650831498,1.2298665597984872,1.233146499966466,1.2329024302667384,1.2361526133250458,1.233669926930014,1.2266047059091674,1.2226208927038678,1.2242778104399443,1.013255100873049,1.0140881913956732,1.018709753344596,1.0262007241193285,1.038669417873545,1.008782093360376,1.0003265136200794,1.0109971780253548,1.0103921070255877,0.9579750534329545
0.875,1.5811758013548498,1.6123548314106801,1.5214811538650048,1.3564263910374346,0.04601094573480598,0.11799594963971455,0.7977038116288723,1.3238685397969505,1.284600126656001,1.2666426068815633,1.2652284433490852,1.2691465692823294,1.2607237995814848,1.2634498044552518,1.24307404870893,1.6182178534339,1.3673256731677204,1.0746962122252655,1.4672561766457675,1.3946841295784205,1.3261379852242468,1.2754385824833905,1.1481434215318576,1.0529942617768124,1.65561251587771
1.0,1.2040432419247948,0.970193627781742,0.9559431340596543,0.9502774416600575,0.037080963828680626,0.08538316861762323,0.909172128207478,1.2389090233380564,1.2281968303312074,1.234445374482191,1.23727089701012,1.225533059812379,1.230884556083041,1.2259083554726713,1.227566263791019,1.1882058142107768,1.1293441051102133,1.0135767703332206,1.1855236335672505,1.1716000232055555,1.1265259859735786,1.0932202281099321,1.041505921266207,1.0065763966194032,0.9714314936543784
1.125,1.4676827351544637,1.8594978912753413,1.7545816031494883,1.5383598347559733,0.04243975082495289,0.09749693212269402,0.8295781451157102,1.303074543129297,1.2536748483916444,1.2755927756901906,1.2893272039997006,1.2631285695551342,1.278826261876362,1.255650677894844,1.2333286244354227,1.5444845661612692,1.2503034304176852,1.016874989483121,1.3547299260059804,1.2814414851729612,1.2058010458335617,1.1572696480652156,1.0813167312836134,1.006931408687316,1.9057878387543183
