Frequency [Hz],A2,AY1,AY2,AY3,AY4,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
0.0,0.5797588657033221,0.11149952230125677,0.12473137569826871,0.10034274109631355,0.10211614927185003,0.027627116606042144,0.007944598321535469,0.15979245309973675,0.501474913412519,0.5126914936649308,0.5008948101442375,0.7047343292563428,0.6441817554510261,0.7572758574360754,0.7653120294426095,0.6148907942813847,0.3314752521124207,0.7785167497953899,0.5453351586898717,0.256020033522571,0.3463816979848567,0.49071831907240626,0.8399750868598156,0.8904794235169661,0.14164961430501313
0.125,0.5543206635963258,0.365834870770035,0.3135789980824827,0.2730009142834507,0.2256090269350251,0.17242222879478675,0.21697794859388683,1.2145104575973642,1.1502369975506672,1.1297530699879919,1.1255102845982459,1.1610269748989526,1.1948467626552128,1.1865173665650957,1.1942803205303802,0.5674393539133441,0.530567507332102,0.8699192411839031,0.5375267828144814,0.38812909554740443,0.5612781986987562,0.7535668167120573,0.8622559366868842,0.8667033648050998,0.3813174782291604
0.25,0.7986210248193428,0.9256766640390771,0.9193906766222811,0.8360323233957784,0.7664440600036453,0.7082079883886815,0.675071741813839,1.0614949435633552,1.0363976615473476,1.048521697202663,1.0405110671579467,1.0416970780311712,1.0523396227845008,1.0661737079011189,1.0347437249088198,0.8310413053034448,0.8766701978239866,0.8387164678489432,0.8252483589597442,0.9124695488848646,1.0269094939646946,1.0151439469017944,0.9302781239542803,0.8473078610725508,0.9250210257509227
0.375,1.677959721739915,1.3476999253053392,1.3131402342331449,1.1472305959874296,0.9860354151509692,0.8736044188940164,0.8201687675624496,1.323296488969027,1.328123842291818,1.315489951070688,1.3358544382702708,1.3084020031578893,1.328968734699104,1.3154916426591956,1.3353865703880834,1.7481158790178968,1.5061930180513061,1.0475566482335334,1.739828545857973,1.78554859965043,1.7064746337434202,1.4783477233713005,1.2576866017331065,1.0483474152034782,1.320444303871781
0.5,1.055157716719174,1.2702690987595942,1.253921177432547,1.1609641795152628,1.0485359985426501,0.9500121523928506,0.9043483715757914,1.2027125812412007,1.2029098898969393,1.2072800602511542,1.2077766652133948,1.1995803374108591,1.2092995054612223,1.2053909364062547,1.2051020796543208,1.1122062730654092,1.0976795748074313,0.9700742918178136,1.140703322304247,1.1953332768192038,1.2215375058256737,1.1492423416749,1.0748573221596653,0.9724211085136538,1.2685787908588944
0.625,3.458652758962272,1.6172451108492103,1.5804209858285339,1.3462000807491912,1.1345804100476349,0.9430864653656873,0.8450432811159688,1.2679750121498417,1.2441534365235998,1.2284390516205295,1.2445521291339552,1.2457195082945824,1.2220685301789442,1.2247852912664356,1.2100193363246516,3.6544129184756513,2.6264174911860527,0.9946236538566708,3.6479177727261294,3.555431071957729,3.0315755618457128,2.189183492789981,1.4621949872075217,0.9811027602535779,1.5870398374327506
0.75,1.8437881175439688,1.9894726771151896,1.9097408673672136,1.6304193874055708,1.320955352187672,1.0457698322809492,0.9213323448338929,1.2368766216880014,1.2269069907716041,1.2359379813062774,1.233919333127638,1.2316171037345929,1.226817137436368,1.2240917692453424,1.2206093308729276,1.9813326815650314,1.586173979716205,0.988580650474795,1.9908851445850761,1.9796113472773265,1.78767878298665,1.4428765983272027,1.1637604703413873,0.9862544080065411,1.9880371428487211
0.875,6.284952793775905,3.082510110822352,2.91965666254191,2.3123262685407138,1.6433936386636612,1.0770353747804533,0.8271485159262245,1.3491946796162302,1.2978483753362984,1.3044943329285816,1.2807661408783282,1.2671039132897945,1.225288028189006,1.2368099406183195,1.2392215751825382,6.654091087854176,4.389096202483703,1.0501549801472567,6.647526673136032,6.266228575833997,5.01926400716166,3.222019432491775,1.7691321476427635,1.0368223679351842,3.1010723569355694
1.0,2.70619227219707,3.068473676682998,2.8408356317546084,2.2185996183272967,1.4955877314622308,1.0263334635999497,0.9185076160636457,1.2576118434037418,1.2482403586351514,1.248628285960871,1.2444575687705028,1.232072501631829,1.2310377323660038,1.2273016110738146,1.2217579587345646,2.8677843147980955,1.8380154097510417,0.9845986638166323,2.8270922034108588,2.640365814298358,2.063404034055679,1.3243104992836603,0.9652841898490371,0.979349967727752,3.0942877909296675
1.125,4.448808445753486,4.093705532961818,3.701015749118798,2.6965256661852943,1.5406916839192852,0.9288244562758966,0.8537505355380152,1.3702350630504447,1.3310256513768979,1.3562286044726968,1.341296319761953,1.3004741117750396,1.2795413248360794,1.2391603088161458,1.2397806892001315,4.634822472972566,2.8824418464384465,0.9774670652564716,4.6372434594437,4.269573170127022,3.2670576694575884,1.9322603539715912,1.1048010519254463,0.9787402545558465,4.154888746449312
