Time [s],Input force,A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,R1,R2
0.0,-0.025689194999999998,0.0058632,-0.031065,-0.0043787,-0.013593,0.016897,-0.021495,-0.0011766,0.0098082,-0.031226,0.015592,-0.00114,-0.0052652,0.0095046,-0.012368,-0.0041184,0.028997,-0.025719,-0.0029832,-0.016639,-0.035861,-0.019468,-0.030128,-0.023373,-0.001683,0.002015
0.02,-0.022171779000000003,0.0090528,-0.033104,-0.0052196,-0.018678,0.0031826,-0.0010274,-0.019442,0.012483,-0.033736,0.000514,0.0026789,-0.0046169,0.0061642,-0.005562,0.0063571,-0.0010164,-0.0051602,0.0068413,-0.0045553,-0.0032588,-0.0099161,-0.0026248,-0.012243,0.0076659,0.0071391
0.04,-0.020725488,0.0079426,-0.01858,-0.019289,-0.0084241,-0.012166,0.01334,-0.025705,0.0060755,-0.017087,-0.012606,-0.00074186,0.0024245,-0.0039483,0.0063681,0.010333,-0.025651,0.021003,0.0078708,0.010556,0.029448,0.0063138,0.022517,0.012925,0.0074084,0.0056677
0.06,-0.01808282,-0.0067596,-0.0096221,-0.022603,-0.0057381,-0.028407,0.016976,-0.0073642,-0.013837,-0.0067176,-0.026079,-0.0059477,0.011921,-0.014355,0.01438,0.0034148,-0.024379,0.027037,0.0098721,0.030971,0.047972,0.042311,0.042398,0.047999,0.0016705,0.0013414
0.08,-0.019492242,-0.024538,-0.013367,-0.019961,-0.014092,-0.014701,0.0048901,0.013886,-0.030896,-0.011993,-0.014309,-0.0037455,0.0069971,-0.016921,0.012647,-0.011435,-0.0059571,0.013456,0.0078843,0.027113,0.030775,0.053238,0.04177,0.048711,-0.0066917,-0.0048783
0.1,-0.024638271,-0.033871,-0.037478,-0.015636,-0.017498,0.0018539,-0.0097376,0.022218,-0.032364,-0.040657,0.00098089,0.0059543,-0.0016268,-0.0078861,0.0063957,-0.019043,0.010265,0.00070371,0.0032442,0.0019292,-0.0031022,0.024508,0.014152,0.0081728,-0.0074813,-0.0031177
0.12,-0.029145151,-0.027128,-0.061158,-0.013016,-0.016669,-0.0043803,-0.00026807,0.010179,-0.021559,-0.066973,-0.0032203,0.015149,-0.0086294,-0.00031394,-0.0031237,-0.0101,0.012919,-0.0032463,-0.0056477,-0.019579,-0.024043,-0.016769,-0.017465,-0.026071,-0.0022353,0.0019714
0.14,-0.026264847,-0.003327,-0.063821,-0.03007,-0.0080044,-0.011132,0.013397,-0.013737,-0.0026658,-0.067775,-0.0087671,0.017138,-0.01319,0.0065248,-0.011246,0.0061199,0.010147,-0.0002691,-0.011745,-0.025942,-0.028657,-0.050596,-0.038613,-0.034418,0.0010642,0.0030852
0.16,-0.022585598000000002,0.014261,-0.053658,-0.053803,-0.00061493,-0.010503,0.011326,-0.025142,0.01488,-0.053213,-0.0056689,0.0033801,-0.0054623,0.011735,-0.0157,0.011452,0.0065782,0.00017406,-0.0076824,-0.014652,-0.019467,-0.051603,-0.043348,-0.035369,0.0018317,0.0030137
0.18,-0.017439562,0.0080835,-0.046414,-0.056809,-0.013103,-0.0021985,-0.003342,-0.017991,0.016493,-0.041867,0.0027983,-0.013691,0.007358,0.0039868,-0.017387,0.0084945,0.0033148,0.00067228,0.0042242,0.0067714,-0.0071764,-0.017223,-0.018612,-0.02462,0.0018492,0.005655
0.2,-0.017404737,-0.0045547,-0.040933,-0.05004,-0.031867,0.017163,-0.02339,-0.003081,0.0050149,-0.035303,0.015712,-0.018151,0.014355,-0.0051579,-0.0099807,0.0030239,-0.0010682,0.0037028,0.010015,0.014321,0.0048071,0.022435,0.013288,0.0083181,-0.00036879,0.00389
0.22,-0.026832302000000002,-0.0081553,-0.033984,-0.052042,-0.038726,0.022094,-0.031631,0.0076619,-0.0071132,-0.030304,0.017073,-0.014429,0.011811,-0.0065986,-0.0015441,-0.0055299,1.4022e-05,0.0051194,0.0027983,0.0081814,0.016291,0.04489,0.035925,0.042854,-0.0058124,-0.0060959
0.24,-0.035997647,-0.00076705,-0.030569,-0.047779,-0.032546,0.0029736,-0.013475,0.0014688,-0.0073598,-0.031744,0.0023226,-0.001584,0.0018207,-0.0047123,0.004975,-0.0076138,0.00078157,0.0025974,-0.0019269,0.0076812,0.026106,0.038409,0.041636,0.044419,-0.0061773,-0.0075875
0.26,-0.039635924999999995,0.013229,-0.034157,-0.045242,-0.026553,-0.019117,0.0089313,-0.012897,0.0016436,-0.040005,-0.013055,0.012458,-0.011101,-0.0027749,0.010583,-0.0038653,-0.0043848,0.0014733,0.00083412,0.010954,0.023654,0.0082799,0.017077,0.0093701,0.00079129,0.003441
0.28,-0.033250504,0.014758,-0.046656,-0.045563,-0.027386,-0.024643,0.015079,-0.01264,0.0051999,-0.054254,-0.018416,0.016824,-0.015627,-0.00097718,0.0053715,-0.0020472,-0.0012715,0.0039454,0.0094894,0.009781,0.0024959,-0.014211,-0.011734,-0.016391,0.0062691,0.01212
0.3,-0.029513896999999997,-0.0043764,-0.057987,-0.035507,-0.030732,-0.019859,0.010254,0.0016365,-0.0049345,-0.063939,-0.020991,0.013032,-0.0094261,-9.0366e-05,-0.001652,-0.00026437,0.0041926,0.0039844,0.0085397,-0.0013995,-0.019821,-0.021623,-0.027219,-0.018974,0.0042424,0.0091258
0.32,-0.022171779000000003,-0.02258,-0.060942,-0.026743,-0.036988,-0.021745,0.0025544,0.013874,-0.013977,-0.062689,-0.027858,0.0042908,-0.00057269,-0.004469,-0.00063237,0.00075644,0.0049956,0.0034966,-0.0055186,-0.017117,-0.035426,-0.02921,-0.034473,-0.026166,-0.0016253,-3.8909e-05
