Frequency [Hz],A2,AY1,AY2,AY3,AY4,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
0.0,0.9629334019517208,0.06468503135126606,0.05429556318400142,0.04809843272886157,0.024933067120901375,0.049653236330087,0.08886121289687463,0.014189317968277772,0.41883523940611384,0.6627548995333505,0.6096909546447561,0.5412402247316132,0.7102730548621855,0.7355695345519924,0.8657858665686717,0.9984944775942873,0.21337915701781807,0.8921699159091685,0.7791265654627684,0.570806608957379,0.16889549317409863,0.4921634882026634,0.8808903437164174,0.8757160002343684,0.06213092235472157
0.125,0.7630393342258263,0.1899747784470051,0.1772108075103707,0.15007631733790652,0.16727160571560948,0.15522868116963454,0.21995837049888733,0.04543482959540622,1.1977501622365285,1.1610357187466924,1.1942463261532956,1.1562572934331399,1.214084924694256,1.1996221830352918,1.1756161256865252,0.813839773736819,0.3953290441940479,0.8497302816060845,0.6608055247730359,0.520434068639035,0.39950696554258475,0.6824850077519035,0.8370628041608991,0.8462799105053634,0.2088383967701041
0.25,0.667287594505117,0.9986403962165294,0.9960655231063161,0.9023699564445824,0.8169889403358103,0.7536292376665721,0.6863243556870567,0.10856320609248711,1.0147966839686484,1.0279937094323108,1.0245326328377253,1.0226213252986025,1.026195144072452,1.0548772614426674,1.024910310025903,0.8036248272748052,0.8448646167197201,0.8336324875878415,0.863530483523457,0.9558037228154069,1.0361292381669573,1.0817354098755887,0.9875878915010882,0.8472896210650517,0.9903474896162151
0.375,1.9724882826792292,0.9040364244670965,0.8761460706325003,0.8348293093000018,0.783676538713094,0.7725749416683494,0.7710414608162502,0.0695388141594201,1.3204209617881217,1.3490452452744919,1.334255178412096,1.3038742846443165,1.3331384524674679,1.3587663098331115,1.3350877424626466,2.1772326905380415,1.6897441982511054,1.0403526991264422,2.113589605383361,2.1821795276119436,2.0390957423107836,1.5857624828117922,1.3164130259638553,1.0392604598799169,0.912238976236785
0.5,1.3702456491226016,1.3976589395381398,1.362487257081796,1.229282973480382,1.0859327292810426,0.9804673318152806,0.9129794688277405,0.05015782967586164,1.2145433512114423,1.2285213104837196,1.2126074987857247,1.1971518025146983,1.2063653056194963,1.1940195133762286,1.1933045973253678,1.5359391041604424,1.3002063155364798,0.9689626205480031,1.5792930650098884,1.6386850953987195,1.5698689196874098,1.3707468553689053,1.1574413771597674,0.9677013788082056,1.4034689831130704
0.625,4.595070769218432,1.3319888762664325,1.2812158415653494,1.1270326690738905,0.9789330362964554,0.8994950962821567,0.8502739868169545,0.028182989477719984,1.189618010976614,1.1898642992081465,1.2222066763852806,1.220268352114076,1.216693893857586,1.2112303364032946,1.2019903961176148,5.042341576209742,3.2589493863027457,0.9828241671193071,4.865809010781297,4.720032051082239,3.9475644494856006,2.3425684124274064,1.5093836155992295,0.9793718103946027,1.3268068515771512
0.75,1.8568905616026106,2.042193156765581,1.9183204878391844,1.5965689070763143,1.259498017598577,1.0284134975529433,0.9208908806450193,0.06677453099455075,1.240588530374402,1.2484720516842855,1.2423291389052862,1.2329765023130828,1.2356543474531834,1.2242785734967057,1.2213688021283529,2.0301762170118858,1.4080946914201462,0.9812389187116148,2.0284731468534316,1.96848440016378,1.6542012392118968,1.2237417498902894,1.0254850095606984,0.9806172388155319,2.0550560140548426
0.875,5.313289028453507,1.989971357678238,1.8363262125495576,1.4462732040116415,1.0920802385739319,0.9148499768020829,0.8594130656628397,0.028972486049512466,1.2346584177258342,1.263693741368787,1.2681389174106645,1.299140973755369,1.2562636777854195,1.2947974632182844,1.248722929678576,5.635818066954741,3.205895624235402,1.051375094883224,5.528430644727021,5.125960363546865,3.855729017341624,1.9957217608101538,1.0389473756848056,1.0309400197970662,1.9983933583188982
1.0,1.3767530568317818,2.4256364813309323,2.176376622995148,1.6243633024208217,1.0850127693383647,0.9001526067413517,0.9124707293489427,0.07658730031113803,1.231884829941658,1.2372096290913073,1.2369532220720885,1.2244893978331095,1.2308606082267313,1.2235066783977706,1.2220189714492853,1.4694804538195982,0.7849774443628661,0.9823310584062581,1.4238323113610525,1.268969834068377,0.8918918308781315,0.639211512369861,0.819699388773679,0.9768875392572403,2.462313196793547
1.125,2.0267928896999976,1.9196012802538613,1.6559291204210778,1.1553414689442267,0.7003635964163458,0.753546545464852,0.8427411811453512,0.1110191396589722,1.1946132864230912,1.1816695696778552,1.219629257244682,1.232562360999026,1.2168075121484503,1.2151883974236266,1.218153233937264,2.101368981840229,1.1236979599186285,0.9943505332752476,2.1576879399741844,1.9338331478922863,1.3347939323524212,0.6850604988611096,0.7728658387782554,0.9792624152616299,1.977400876594664
