,Time [s],A10,A1,A2,A3,A4,A5,A6,A7,A8,A9,AY1,AY2,AY3,AY4,AY5,AY6,AY7,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,E14,E15,E16,E17,E18,R1,R2
0,0.0,-0.0053574,-0.0039473,-0.00058531,0.0010742,-0.001029,-0.0018146,-0.0023014,-0.0054571,-0.0031653,-0.0018694,-0.0043501,-0.0086376,-0.0012982,-0.00764,-0.011093,-0.010637,-0.0087547,-0.00057226,0.0022015,0.0020317,0.0027788,0.0018654,0.0012401,-2.0133,-1.3926,-0.42192,-2.554,-5.6482,-0.67808,4.3041,-7.4972,-0.0023145,-0.0017387
1,0.02,-0.0088859,-0.005088,-0.0030042,-0.0014554,0.0013686,0.0018702,-0.0026617,-0.009135,-0.0049065,0.00048191,0.00092713,-0.0013294,-0.0045049,-0.0093305,-0.010121,-0.0071454,-0.008639,-0.0041573,-0.0042535,-0.0050475,-0.0075413,-0.0076872,-0.0090121,-2.6495,-1.9741,-1.5335,-3.1651,-5.328,-0.83682,3.3094,-4.6686,-0.0042479,-0.0027374
2,0.04,-0.010114,-0.0045754,-0.0064156,-0.0024714,0.0039864,0.0031976,-0.0041474,-0.010861,-0.0045449,0.0027115,0.0041811,0.0056055,-0.0077763,-0.011873,-0.0085411,-0.0076829,-0.0060467,-0.0041426,-0.0092847,-0.0086303,-0.0097025,-0.010397,-0.0094773,-2.6849,-2.4577,-2.8214,-4.3972,-5.9411,-1.3113,1.9268,-6.6645,-0.0021537,-0.0015471
3,0.06,-0.010218,-0.0022418,-0.0082842,-0.0050966,0.0033544,0.0013343,-0.0053048,-0.010228,-0.0020437,0.002106,0.0056415,0.0058766,-0.0067845,-0.012783,-0.0078665,-0.0083102,-0.0045015,0.00044624,0.00095074,-0.00059438,-0.00023564,-0.00087382,-0.0005268,-2.6825,-1.9494,-2.3746,-4.495,-5.6065,-1.2581,1.8787,-4.9846,0.00072215,9.6401e-05
4,0.08,-0.0065092,-0.00015545,-0.0040554,-0.0062458,0.00033479,-0.0019542,-0.0051897,-0.0071713,-0.00011247,0.00047846,0.0048891,0.0022737,-0.0025911,-0.010219,-0.0098522,-0.0055637,-0.006488,0.0041793,0.0088732,0.0084027,0.0097217,0.0086036,0.0079587,-1.7233,-0.67886,-0.70449,-3.1943,-3.7483,0.33133,3.1233,-2.7036,0.0021044,0.0017902
5,0.1,-0.0023671,0.00012586,0.0018323,-0.0022968,-0.0041048,-0.0047515,-0.0043727,-0.0035162,-0.00084462,-0.0035627,0.0037454,-3.5489e-05,-0.00023078,-0.0058944,-0.0097586,-0.0050998,-0.0066193,0.0023844,0.0019397,0.0057243,0.007788,0.007377,0.0079083,-1.2469,0.03257,0.17669,-2.2758,-1.3734,1.1558,3.437,-3.4002,0.00018543,0.00043041
6,0.12,-0.00071738,-0.0014171,0.0039167,0.0021622,-0.0085079,-0.0066322,-0.0026642,-5.1455e-05,-0.0025119,-0.0093377,0.0032544,-5.1319e-05,-0.0010992,-0.0015593,-0.005674,-0.0081639,-0.0037432,-0.002177,-0.0037245,-0.0022713,-0.00096853,-0.0016759,-0.0005254,-1.3884,-0.59628,-0.71178,-2.0229,-0.47218,0.52328,2.2215,-0.4454,-0.0027689,-0.0023216
7,0.14,-0.00071218,-0.0034222,0.002627,0.001674,-0.0093105,-0.0091783,-0.0016724,0.0015501,-0.0031378,-0.0096087,0.0027899,0.0021765,-0.0018229,0.0014682,-0.0023186,-0.0086622,-0.0043409,-0.0046404,-0.0041436,-0.0064814,-0.0082991,-0.01058,-0.01028,-2.058,-1.208,-2.3052,-2.6032,-0.54065,-0.61748,0.52776,-3.2378,-0.0037065,-0.002707
8,0.16,0.00078688,-0.0040151,-0.0013052,-0.0016824,-0.0062491,-0.0089665,-0.004088,0.002141,-0.0027748,-0.0056519,0.00092154,0.0031547,0.00045399,0.0018448,-0.0020859,-0.0044848,-0.0086325,-0.0037705,-0.005648,-0.007008,-0.0079109,-0.0092497,-0.0091803,-2.3567,-0.53499,-2.7075,-3.1979,0.34059,0.19626,0.18714,-0.80136,-0.0027871,-0.0022403
9,0.18,0.00057426,-0.0045882,-0.0063171,-0.0056311,-0.0023444,-0.0050766,-0.0065647,-0.00011525,-0.0033966,-0.003888,-2.6567e-06,0.0008066,0.0058807,0.00015115,-0.00094361,-0.0009076,-0.010982,-0.0018781,-0.0030949,-0.0037515,-0.0013692,-0.0018887,-0.00086521,-1.4846,0.9942,-1.4086,-3.0327,2.4684,2.2509,1.0124,0.59886,-0.0011619,-0.00046228
10,0.2,-0.0062682,-0.0049379,-0.010266,-0.010231,-0.0019603,-0.0013027,-0.0040464,-0.006675,-0.0043472,-0.0040632,0.0034637,0.001148,0.0076381,0.0010359,0.0026249,-0.0016983,-0.0076449,0.002683,0.0055727,0.004345,0.0045689,0.004846,0.0042336,-0.46259,2.5953,-0.27003,-2.6988,4.8188,3.3964,1.3446,1.9004,0.0024269,0.0028819
11,0.22,-0.012049,-0.0050788,-0.011354,-0.011762,-0.0036618,0.00099436,-0.0014763,-0.011488,-0.0053594,-0.0044777,0.0058528,0.0071673,0.003431,0.0065203,0.0021358,-0.0029686,-0.0016729,0.0059968,0.0077498,0.0080464,0.0074518,0.0076004,0.0065974,-0.70735,2.4138,-0.96828,-2.6282,5.946,3.3361,0.88554,4.8555,0.0032562,0.0034082
12,0.24,-0.011152,-0.0061482,-0.0086831,-0.0092233,-0.004574,0.00060125,-0.0033111,-0.011047,-0.0063199,-0.0044916,0.0048379,0.011248,0.0011018,0.0086548,-0.00029352,-0.0022837,0.0041832,0.0015336,0.0017927,0.0030529,0.0061376,0.0058355,0.006561,-1.5029,1.2254,-2.4209,-2.5828,5.911,1.732,-0.52903,1.7728,-0.00036224,0.00083802
13,0.26,-0.00605,-0.0062255,-0.0049828,-0.0068459,-0.0049519,-0.0035921,-0.0062295,-0.0058403,-0.0056793,-0.0035607,0.0033896,0.006855,0.0069658,0.0028528,0.0011877,0.00050534,0.0066964,-0.0035717,-0.0015154,-0.0025151,-0.00024688,-0.00020977,-0.0011087,-1.3608,1.0936,-2.3608,-2.3763,6.8186,1.009,-1.1421,4.498,-0.00262,-0.0016656
14,0.28,-0.002616,-0.0060022,-0.0040228,-0.0033868,-0.0044686,-0.0093342,-0.0068828,-0.00079073,-0.0064647,-0.0032111,0.0014114,0.00095537,0.011781,-0.0016484,0.0024566,0.0070864,0.0042504,-0.0043607,-0.0043331,-0.0064513,-0.010172,-0.010302,-0.01223,-0.93857,2.1377,-1.0286,-2.1151,8.5276,2.2249,-0.41654,4.1325,-0.0034284,-0.0025652
15,0.3,-0.0018854,-0.0049807,-0.0047694,0.0011816,-0.0055893,-0.01146,-0.0061495,0.00084851,-0.0062283,-0.0058593,0.00019808,0.00045939,0.0081012,0.0011129,0.0042472,0.011527,0.004381,-0.0037171,-0.0072885,-0.0082094,-0.01149,-0.012537,-0.012004,0.052438,3.74,0.17487,-1.5515,10.371,3.4509,0.4954,6.267,-0.0019822,-0.00073539
16,0.32,-0.0020218,-0.0024824,-0.0019892,-0.00073032,-0.006794,-0.0096163,-0.0064116,-0.001485,-0.0028325,-0.0076124,0.00087887,0.0030193,0.00099919,0.0072999,0.0082893,0.0080097,0.010372,4.7759e-06,-0.0009376,-0.0017001,-0.00068105,-0.00035607,-0.00015354,0.10704,3.836,0.31991,-2.2456,10.58,3.5859,0.42114,8.2785,0.0017358,0.0018847
17,0.34,-0.0056853,-0.00084938,0.0010591,-0.0073187,-0.0083779,-0.0077407,-0.0067866,-0.007498,-0.00054805,-0.008136,-0.0012134,0.0016131,-0.0042256,0.011355,0.010231,0.0045981,0.014718,0.0044909,0.0093099,0.009071,0.011863,0.012872,0.010401,-0.65338,2.7892,-1.2857,-3.1202,9.2893,2.8518,-0.97678,5.8656,0.0021931,0.0012586
18,0.36,-0.0077322,-0.0010786,0.00011178,-0.0072641,-0.009074,-0.0045291,-0.0074641,-0.0107,-0.0005442,-0.0092582,-0.0056166,-0.0029557,-0.002357,0.010001,0.009421,0.0089999,0.013755,0.0031012,0.0067829,0.0082948,0.012521,0.013487,0.011081,-0.95724,2.2237,-1.769,-3.3771,9.6343,1.5236,-1.5146,7.827,-0.00028488,-0.0010952
19,0.38,-0.0081317,-0.0028856,-0.003603,-0.0028449,-0.0057968,-0.0031948,-0.0072837,-0.011279,-0.0021904,-0.0078969,-0.0059738,-0.008548,0.0030788,0.0046026,0.010363,0.017018,0.011499,-0.0034088,-0.005047,-0.0043996,-0.0031687,-0.0025013,-0.002583,-0.42325,2.8257,-0.87399,-2.7524,11.591,1.2465,-0.81011,5.8863,-0.001279,-0.0014612
20,0.4,-0.0093088,-0.004721,-0.0077227,-0.0026463,-0.0011999,-0.0050896,-0.0066841,-0.010067,-0.0046569,-0.0036191,-0.0020065,-0.010949,0.0040722,0.0025187,0.013461,0.019973,0.01201,-0.0043176,-0.0086185,-0.011732,-0.018199,-0.017886,-0.017911,0.56296,4.7692,0.22521,-1.9638,13.372,2.4815,-0.3615,9.409,-7.4972e-05,0.00012593
21,0.42,-0.006204,-0.0059379,-0.0079236,-0.0046302,0.00024152,-0.0054999,-0.0093414,-0.0064367,-0.0065721,-0.00062117,0.0011289,-0.0032317,-0.00038555,0.006856,0.014837,0.015582,0.018442,0.00097108,-0.0019716,-0.0051088,-0.010996,-0.010163,-0.011379,0.51669,5.1135,0.70453,-2.7327,13.999,3.9468,-0.37229,10.276,0.00043008,0.0013178
22,0.44,-0.0055912,-0.0066953,-0.0065559,-0.0038188,-0.0031171,-0.0065172,-0.01047,-0.0069676,-0.0069359,-0.001574,0.0019341,0.0061202,-0.0036248,0.009972,0.010501,0.0108,0.024102,0.0018834,0.004404,0.0054605,0.011329,0.012042,0.011008,0.0075917,4.154,-0.83189,-3.3079,13.78,3.6546,-1.3862,9.008,-0.00053809,0.00027351
23,0.46,-0.0098632,-0.0044848,-0.0048055,-0.0035311,-0.0074685,-0.0087526,-0.0069148,-0.010361,-0.0039772,-0.0043681,0.0026106,0.0075591,0.001724,0.0072549,0.0072739,0.012311,0.022872,0.0030838,0.0073338,0.0093052,0.017593,0.017631,0.01595,-0.2797,3.6179,-1.4272,-3.2371,13.952,2.7715,-2.5106,11.145,0.0015801,0.00064074
24,0.48,-0.0097553,-0.00043262,-0.0015731,-0.0054204,-0.0092672,-0.0067306,-0.0043397,-0.0090102,-0.00044163,-0.0070107,0.0028784,0.0046002,0.010806,0.0029483,0.0094423,0.017779,0.018038,0.0051153,0.0060524,0.0051725,0.003127,0.0038829,0.001222,0.70234,3.6971,-0.43925,-1.573,15.965,3.2992,-2.004,9.4602,0.0039065,0.0025339
25,0.5,-0.0045516,0.0003751,0.0024362,-0.0062199,-0.0080821,-0.0042308,-0.006197,-0.0032889,-0.00057043,-0.0075735,0.0022871,0.0050643,0.013429,0.0045054,0.011166,0.01922,0.015196,-0.00034512,-0.0021766,-0.0049243,-0.011153,-0.0099112,-0.0089081,1.0762,4.7201,0.56785,-0.3547,17.945,4.3145,-1.3637,12.623,0.0015775,0.0015312
26,0.52,-0.00035432,-0.00057307,0.0012438,-0.0029603,-0.00652,-0.0073736,-0.0064276,-0.0013582,-0.00028812,-0.0071503,0.00064109,0.0081164,0.010152,0.011448,0.012473,0.013545,0.01619,-0.0054708,-0.007582,-0.0092567,-0.010213,-0.0092633,-0.0077438,0.81087,5.0324,0.62952,-0.79413,17.3,4.349,-1.4537,11.027,-0.0016253,-0.0010942
27,0.54,-8.0612e-05,-0.0016161,-0.0052605,-0.0014649,-0.0065559,-0.010808,-0.004921,-0.003347,-0.00068289,-0.0067894,-0.002684,0.0048147,0.00833,0.017983,0.012981,0.0075952,0.015077,-0.0013424,-0.0012247,-0.0024238,0.00092857,0.00084474,-0.0024665,0.57646,3.9864,-0.50755,-1.1993,15.216,3.1601,-2.25,10.217,-0.0024558,-0.0020588
28,0.56,-0.00080788,-0.0041076,-0.0064293,-0.0034936,-0.0061273,-0.0080565,-0.0057419,-0.003458,-0.0027449,-0.0057684,-0.0055127,-0.0021158,0.0094167,0.019466,0.013302,0.008579,0.009048,0.0015666,0.0051562,0.0042006,0.0067964,0.0068148,0.0044546,-0.0142,2.8591,-1.0451,-1.8049,13.858,2.2009,-2.6953,9.9828,-0.0014867,-0.00163
29,0.58,-0.002269,-0.0058294,-0.0027345,-0.0047912,-0.0038679,-0.0026993,-0.0059242,-0.0038268,-0.0042414,-0.0041293,-0.0059711,-0.0057896,0.010595,0.016683,0.014698,0.013295,0.0037778,-0.00092413,0.0010724,0.0012734,0.00071182,0.0020624,0.0041079,0.37335,3.162,-0.3475,-1.3566,13.617,2.0819,-1.7462,7.3809,0.00019786,-7.4102e-05
30,0.6,-0.0074334,-0.0059776,-0.0037849,-0.004403,-0.0023578,-0.00062155,-0.0034859,-0.0065611,-0.0064201,-0.0018825,-0.0025189,-0.0045635,0.0074464,0.014189,0.016824,0.013102,0.0029452,0.00032718,-0.0018324,-0.002409,-0.0055601,-0.0034635,-0.0030573,1.2455,4.3141,0.42235,-0.97248,14.104,2.9396,-0.58386,10.231,0.0020887,0.0014753
31,0.62,-0.0095814,-0.0071501,-0.0084788,-0.0036514,-0.0017514,-0.0016129,-0.0012885,-0.0072861,-0.008009,-0.00016076,0.002514,0.0011887,0.0015525,0.012072,0.01649,0.0091836,0.0076524,0.0030854,0.0021993,0.00047419,-0.00069986,-0.00029717,-0.0033252,1.2312,4.6705,0.56778,-0.95397,13.756,3.1451,-0.1924,7.42,0.0025811,0.0022974
32,0.64,-0.0034747,-0.0099761,-0.0087246,-0.003116,-0.00094234,-0.0020676,-0.003404,-0.0052876,-0.010763,0.0015723,0.0037582,0.0065442,-0.00074683,0.0082286,0.010433,0.0089336,0.013637,0.00093646,0.0020687,0.0012418,0.0038084,0.0034427,0.0030445,-0.22131,3.4113,-0.89673,-1.4506,11.871,2.0438,-0.99022,7.4251,0.0001292,0.0014789
33,0.66,0.0016512,-0.010964,-0.0082964,-0.003997,-0.00036798,-0.0023165,-0.0050652,-0.0019141,-0.012239,0.0026243,0.001782,0.0064237,0.0031923,0.0025438,0.0034169,0.011661,0.015489,-0.00072095,-0.00074653,0.0002767,0.0012825,0.0024688,0.0049903,-0.85813,2.2835,-1.7922,-2.4174,9.9069,0.7382,-1.7093,5.4877,-0.0018989,-0.00041052
34,0.68,0.0014305,-0.0084779,-0.0096223,-0.0055362,-0.00095596,-0.0030123,-0.0029086,0.00057425,-0.0090667,9.2732e-05,0.0011969,0.0027487,0.0080316,-0.0031578,0.00064548,0.011295,0.016368,-6.1701e-05,0.00050237,-0.00019986,-0.0020706,-0.00057393,-0.0025502,-0.63352,2.5404,-0.79906,-1.9664,9.3621,0.48286,-0.93732,3.6995,-0.0017245,-0.00088387
35,0.7,0.0013979,-0.005619,-0.0075599,-0.0055844,-0.0040323,-0.0027986,-0.00023097,0.00043072,-0.0058444,-0.005339,0.0021046,0.0022397,0.0060842,-0.0039049,0.0002719,0.009481,0.017215,-0.0026506,-0.0015571,-0.0033976,-0.0043995,-0.0044347,-0.0072776,-0.34605,3.1416,-0.081107,-1.226,9.8842,1.6329,0.32325,6.4441,-0.0018525,-0.0012303
36,0.72,0.0033313,-0.0027211,-0.0034532,-0.0059389,-0.0073675,-0.001618,0.0011171,8.7244e-05,-0.0024601,-0.0089919,0.0027676,0.0039644,-0.00030428,0.00042414,0.00067499,0.0080227,0.014699,-0.0035796,-0.0044754,-0.0039753,-0.0028271,-0.0038657,-0.0019449,-0.046362,2.8915,0.15735,-1.0369,8.5864,1.9844,1.1634,3.0215,-0.00093276,-0.0010936
37,0.74,0.0064806,-0.00087249,-0.00084836,-0.0085873,-0.0084566,-0.0021381,-0.00014672,0.0021137,-9.0529e-05,-0.0091118,0.0033725,0.0020199,-0.004473,0.0031517,0.0041829,0.0047101,0.009267,0.00094081,0.00085824,0.0001742,-0.00013675,1.3754e-05,0.00097966,-1.0245,1.5901,-1.1844,-1.8221,5.8329,0.53848,0.47613,3.5253,0.00056677,0.00033804
38,0.76,0.0077507,-0.00046555,-0.0017316,-0.0070036,-0.0080259,-0.0047813,-0.00070183,0.0041816,0.0003451,-0.008208,0.0021523,-0.0022013,-0.004211,0.0020459,0.0067896,0.0033506,0.0006556,0.001664,0.0038668,0.0016233,0.0013854,0.0024184,0.00058096,-1.8043,0.41203,-2.1421,-2.2857,3.9076,-0.80291,-0.37351,0.38974,-7.3096e-05,4.1144e-05
39,0.78,0.0053919,0.0014355,-0.0030973,-0.0016111,-0.0056006,-0.006225,-0.00044869,0.0035572,0.0012316,-0.0060973,0.00093517,-0.0039044,-0.002121,0.0019477,0.0059909,0.0046666,-0.0058002,-0.0023729,-0.0024553,-0.0028988,-0.000579,-0.00035451,-0.00068491,-1.3667,0.20488,-1.0895,-1.5249,3.7092,-0.15853,0.35791,0.18706,-0.0018159,-0.0011387
40,0.8,0.0014217,0.0042497,-0.0012248,-0.00071366,-0.0027772,-0.0047511,-0.00077128,0.0019063,0.0033328,-0.0017697,0.0031429,-0.0028327,-0.00027112,0.0031637,0.0041865,0.0022116,-0.0058066,-0.0019983,-0.0041897,-0.0034216,-0.0026337,-0.0034484,-0.00099934,-0.60102,0.87405,0.37531,-0.2832,4.817,1.5668,1.4842,2.4384,-0.0025845,-0.0017937
41,0.82,-0.004436,0.008791,0.0046262,-0.0021262,-0.000843,-0.0012255,-0.0017612,-0.0017345,0.0072386,0.0020826,0.0064664,0.0020161,0.00096969,0.0049916,0.0019508,-0.0031055,-0.0030032,0.00066827,0.0016561,0.0003028,-0.00094234,-0.0012825,-0.0015481,0.12456,0.80941,1.3439,0.8283,5.2905,2.107,1.7754,0.56646,-9.6826e-05,-9.8792e-05
